Customer_Number,Attrition_Flag,Age,Date_of_birth,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
3708092208,Existing Customer,45,6/9/1979,F,3,High School,Married,Less than $40K,Blue,36,4,3,3,3544.00,1661,1883.00,0.831,15149,111,0.734,0.469
3708093408,Attrited Customer,58,5/28/1966,M,0,Unknown,Single,$40K - $60K,Blue,45,3,1,3,3421.00,2517,904.00,0.992,992,21,0.400,0.736
3708094683,Attrited Customer,46,6/29/1978,M,3,Doctorate,Divorced,$80K - $120K,Blue,38,6,3,3,8258.00,1771,6487.00,0.000,1447,23,0.000,0.214
3708095583,Existing Customer,34,6/23/1990,F,2,Uneducated,Single,Less than $40K,Blue,24,6,2,2,1438.30,0,1438.30,0.827,3940,82,0.952,0.000
3708097083,Existing Customer,49,3/12/1975,F,2,Uneducated,Married,Unknown,Blue,41,3,5,2,3128.00,749,2379.00,0.598,4369,59,0.735,0.239
3708105258,Existing Customer,43,3/6/1981,M,4,Unknown,Unknown,$120K +,Blue,34,5,2,2,33304.00,1833,31471.00,0.428,1448,29,0.381,0.055
3708108258,Existing Customer,32,8/6/1992,F,0,Graduate,Married,Less than $40K,Blue,19,6,1,0,2834.00,1418,1416.00,1.458,1598,39,0.773,0.500
3708109308,Existing Customer,37,7/4/1987,F,2,High School,Single,Less than $40K,Blue,36,4,2,2,5723.00,1873,3850.00,0.851,2732,63,0.853,0.327
3708110658,Existing Customer,55,7/9/1969,F,3,College,Single,Less than $40K,Blue,36,3,3,3,2679.00,2277,402.00,0.736,4943,85,0.735,0.850
3708113733,Existing Customer,52,5/29/1972,M,1,High School,Single,$60K - $80K,Blue,45,1,5,1,11898.00,2517,9381.00,0.745,15798,128,0.730,0.212
3708114783,Existing Customer,46,3/16/1978,M,1,Graduate,Unknown,$40K - $60K,Blue,36,4,3,2,1438.30,890,548.30,1.143,2928,48,1.400,0.619
3708118458,Attrited Customer,47,8/31/1977,F,3,Graduate,Married,Unknown,Blue,36,3,3,1,5590.00,0,5590.00,0.010,1507,32,0.000,0.000
3708122133,Existing Customer,56,6/4/1968,M,2,Graduate,Married,$80K - $120K,Blue,36,4,2,3,23510.00,1049,22461.00,0.438,1661,35,0.296,0.045
3708123333,Existing Customer,53,5/13/1971,F,1,High School,Married,Less than $40K,Blue,36,3,2,2,1688.00,0,1688.00,0.641,4375,69,0.605,0.000
3708128058,Attrited Customer,44,6/28/1980,F,2,Graduate,Divorced,Less than $40K,Blue,36,3,2,3,1880.00,0,1880.00,0.519,2469,34,0.417,0.000
3708129783,Existing Customer,49,3/15/1975,F,4,Graduate,Married,$40K - $60K,Blue,38,4,2,1,12836.00,1034,11802.00,0.663,2519,53,0.472,0.081
3708132033,Attrited Customer,48,6/23/1976,M,4,Unknown,Married,$80K - $120K,Blue,36,2,3,2,22917.00,0,22917.00,0.574,2045,45,0.500,0.000
3708133158,Existing Customer,41,7/3/1983,F,3,Graduate,Single,Less than $40K,Silver,30,2,1,1,11463.00,0,11463.00,0.908,14511,105,0.721,0.000
3708135858,Existing Customer,46,1/6/1978,F,2,College,Divorced,Less than $40K,Blue,36,4,3,1,1438.30,0,1438.30,0.906,4311,77,0.833,0.000
3708138858,Existing Customer,50,5/12/1974,F,3,Post-Graduate,Single,Unknown,Blue,36,5,4,3,1814.00,0,1814.00,0.852,5014,99,0.623,0.000
3708140058,Existing Customer,45,5/23/1979,F,4,Graduate,Single,Less than $40K,Blue,36,5,3,2,2072.00,1544,528.00,0.903,4210,64,0.939,0.745
3708142908,Existing Customer,47,2/9/1977,F,3,Uneducated,Single,Unknown,Blue,42,6,2,2,16411.00,1179,15232.00,0.849,3929,71,0.732,0.072
3708143256,Existing Customer,49,1/1/1990,M,3,College,Divorced,$80K - $120K,Blue,38,2,3,3,9959.00,1143,8816.00,0.661,7300,77,0.638,0.115
3708144408,Existing Customer,35,1/6/1989,M,2,Uneducated,Married,Less than $40K,Blue,36,4,3,3,3131.00,629,2502.00,0.749,1483,31,0.632,0.201
3708147033,Existing Customer,62,2/1/1962,F,0,Graduate,Single,Less than $40K,Blue,53,5,2,2,2616.00,801,1815.00,0.719,4655,68,0.511,0.306
3708149958,Attrited Customer,40,6/11/1984,M,3,Graduate,Unknown,$60K - $80K,Blue,30,4,2,3,6391.00,0,6391.00,0.632,2323,44,0.419,0.000
3708156033,Existing Customer,61,1/13/1963,F,0,Graduate,Married,$40K - $60K,Blue,50,3,3,0,4906.00,2185,2721.00,0.660,3999,71,1.088,0.445
3708157233,Existing Customer,26,3/12/1998,M,0,Graduate,Divorced,Unknown,Blue,36,6,1,3,21084.00,2517,18567.00,0.763,2309,71,0.543,0.119
3708158283,Existing Customer,39,7/9/1985,F,4,Unknown,Married,Unknown,Blue,21,2,3,2,1827.00,0,1827.00,0.563,4207,86,0.792,0.000
3708161133,Existing Customer,49,7/7/1975,F,4,Graduate,Married,$40K - $60K,Blue,41,5,1,2,6250.00,644,5606.00,1.060,2433,41,1.158,0.103
3708162483,Attrited Customer,54,5/9/1970,M,1,Post-Graduate,Unknown,$80K - $120K,Blue,36,1,3,2,18512.00,1664,16848.00,0.889,8019,57,0.583,0.090
3708163683,Existing Customer,46,3/26/1978,M,5,Doctorate,Divorced,$120K +,Blue,31,1,2,2,34516.00,1802,32714.00,0.871,7936,101,0.485,0.052
3708164958,Attrited Customer,39,2/3/1985,F,2,Graduate,Single,Less than $40K,Blue,27,1,3,3,1438.30,811,627.30,0.571,2336,46,0.278,0.564
3708164958,Attrited Customer,39,2/3/1985,F,2,Graduate,Single,Less than $40K,Blue,27,1,3,3,1438.30,811,627.30,0.571,2336,46,0.278,0.564
3708165858,Existing Customer,53,8/7/1971,M,2,High School,Single,$120K +,Blue,44,4,2,2,14734.00,1634,13100.00,0.989,1289,23,0.917,0.111
3708168258,Attrited Customer,45,8/31/1979,M,3,College,Married,$80K - $120K,Blue,36,3,2,2,3031.00,2517,514.00,0.409,2188,50,0.389,0.830
3708170133,Existing Customer,44,8/19/1980,M,1,Uneducated,Married,$120K +,Blue,33,2,2,3,34516.00,1058,33458.00,0.734,7412,84,0.585,0.031
3708171258,Existing Customer,45,3/3/1979,M,1,Graduate,Single,$40K - $60K,Blue,32,5,1,2,6629.00,1389,5240.00,0.828,3891,69,0.643,0.210
3708172683,Existing Customer,64,1/28/1960,F,0,Uneducated,Married,Unknown,Blue,54,6,1,2,3250.00,1992,1258.00,0.715,1355,36,0.565,0.613
3708173883,Existing Customer,41,4/26/1983,M,3,Unknown,Married,$120K +,Blue,33,2,4,3,34516.00,638,33878.00,0.724,13085,139,0.675,0.018
